type;i;n2;M2;P1;Fr1;Fr2;weight
RD;63.0;23.0;52.0;0.14;208.0;1200.0;3.4205749441734064
SRO;47.2;29.7;330.0;1.1;3000.0;6400.0;10.689147469138472
RD;250.0;5.5;36.0;0.02;376.0;1420.0;3.473420227531893
RD;20.0;70.0;90.0;0.71;55.0;1900.0;5.454788312655925
FRO;90.0;15.4;310.0;0.53;3000.0;5100.0;10.061844063634126
SRO;45.1;31.1;500.0;1.7;5740.0;9800.0;19.217627603753414
RD;9.0;147.0;54.0;0.89;140.0;770.0;3.173596008899036
RD;125.0;11.0;52.0;0.07;312.0;1200.0;3.4108847359022043
FRO;16.0;92.5;165.0;1.7;1600.0;3550.0;7.63823697678847
SRO;54.7;25.6;150.0;0.4;1610.0;5750.0;5.661788382202765
RD;80.0;18.0;1300.0;2.6;1610.0;7900.0;44.39310519603988
FRV;71.0;19.0;170.0;0.36;1610.0;4000.0;5.299706299910422
RD;5.6;247.0;102.0;2.8;40.0;1760.0;6.57737657573735
FRN;60.0;22.3;120.0;0.29;1470.0;5400.0;4.300720439478706
SRO;5.2;270.5;105.0;3.2;1200.0;1700.0;4.059917713767252
FRO;80.0;17.0;310.0;0.59;3000.0;5100.0;10.079756775130452
FRO;9.0;153.0;130.0;2.2;1580.0;3740.0;8.317229227856966
FRO;20.0;73.1;170.0;1.4;1610.0;3670.0;7.524444412453544
RD;50.0;30.0;420.0;1.33;350.0;4100.0;15.579383809145734
RD;50.0;30.0;52.0;0.18;149.0;1200.0;3.609738121331276
RD;31.5;42.0;2220.0;10.0;2850.0;13700.0;80.30798521882923
RD;9.0;151.0;83.0;1.4;40.0;2040.0;5.4787754541148495
FRO;18.0;78.4;1950.0;17.0;7880.0;15380.0;116.71701796759783
FRV;12.5;110.0;540.0;6.6;5710.0;4640.0;15.90921558355169
FRN;315.0;4.65;1350.0;0.7;4950.0;19100.0;67.60978990112235
FRN;45.0;29.5;320.0;1.0;2180.0;9440.0;15.828181829804263
FRV;112.0;12.1;310.0;0.42;3000.0;5100.0;8.390995374545106
SRO;22.7;61.6;110.0;0.8;1300.0;3400.0;3.413005879169969
FRO;80.0;17.0;1000.0;1.9;5790.0;10510.0;41.099300945450565
RD;100.0;15.0;52.0;0.09;281.0;1200.0;3.382741273786845
RD;250.0;5.5;430.0;0.26;930.0;4300.0;15.547748167054209
RD;5.0;280.0;55.0;1.55;20.0;1600.0;4.924418434004334
SRO;16.4;85.6;480.0;4.6;5730.0;6500.0;17.287548637997087
FRV;14.0;99.1;230.0;2.5;3000.0;4340.0;7.62495816616666
SRO;8.5;163.9;300.0;5.5;5540.0;6000.0;14.625351995915853
FRN;28.0;50.6;3270.0;18.0;4440.0;6000.0;111.63609751355503
FRO;250.0;5.45;750.0;0.46;5790.0;16500.0;41.66369045471932
FRV;28.0;51.1;310.0;1.8;3000.0;4180.0;8.711597725650098
FRN;80.0;17.7;140.0;0.28;1390.0;7160.0;6.769648122220833
FRV;40.0;34.8;570.0;2.2;5740.0;5500.0;15.196822909288297
FRV;31.5;42.5;260.0;1.2;3000.0;4960.0;7.337491126702631
FRV;50.0;28.6;175.0;0.56;1610.0;4100.0;5.638719414615068
RD;200.0;7.0;200.0;0.15;520.0;3000.0;8.47780040255773
FRO;224.0;6.34;2550.0;1.8;8360.0;22500.0;124.67342560555358
FRN;14.0;99.3;920.0;10.0;2440.0;6810.0;38.01036545158819
RD;63.0;22.0;140.0;0.34;760.0;3200.0;5.281588238374145
FRN;56.0;25.8;980.0;2.8;2030.0;9830.0;36.94493949851086
FRV;80.0;17.0;1000.0;1.9;5790.0;10510.0;39.48974076128226
RD;180.0;7.9;52.0;0.05;341.0;1200.0;3.6866223903802826
FRN;8.0;177.0;370.0;7.1;2100.0;5410.0;20.797141737161805
SRO;5.2;270.5;180.0;5.4;2900.0;3150.0;8.599804023345072
RD;280.0;4.9;36.0;0.02;380.0;1420.0;3.6150184507156347
RD;160.0;9.0;700.0;0.7;1250.0;5500.0;24.30576877498805
FRO;11.2;120.2;380.0;5.1;5730.0;6180.0;16.7263562751441
FRV;31.5;44.0;2860.0;14.0;8360.0;11540.0;113.87922162109952
FRO;315.0;4.58;2550.0;1.3;8360.0;22500.0;120.40939776031824
RD;63.0;22.0;450.0;1.1;1590.0;8000.0;17.933263503495773
FRN;100.0;13.5;340.0;0.51;2170.0;10730.0;17.066482842582552
FRV;280.0;5.107;430.0;0.25;5740.0;9400.0;10.772443053800853
FRV;160.0;9.14;1720.0;1.8;8360.0;10100.0;65.88306090663718
